Variable,Time,Shock,Median,Lower,Upper
log(GDP),0,ForeignDemand,0.539739589946383,0.465208538744505,0.6149879309719034
log(GDP),0,GovSpending,0.1601517104326861,0.0781254705575787,0.2410174932060869
log(GDP),0,IntRate,-0.1708129130486259,-0.2921458547186535,-0.0241306283075324
log(GDP),0,OilPrice,-0.0101290997673169,-0.0242600097370001,0.003140779112051
log(GDP),1,ForeignDemand,0.2416249508772015,0.1216603838570773,0.3851664249068313
log(GDP),1,GovSpending,0.1688550413094666,0.0531586982909151,0.2860751265406492
log(GDP),1,IntRate,-0.2512431743219211,-0.5184564689243958,0.0286906998473828
log(GDP),1,OilPrice,-0.002204379549488,-0.0315051791943993,0.0202089703353775
log(GDP),2,ForeignDemand,0.0476820153322634,-0.0694741835213935,0.2095495557805253
log(GDP),2,GovSpending,0.1384489535780004,-0.0120286084431855,0.2973003977863767
log(GDP),2,IntRate,-0.1587489326948157,-0.4777198037857601,0.1108522169895251
log(GDP),2,OilPrice,-0.0039524252374474,-0.0359893601129476,0.026266993694894
log(GDP),3,ForeignDemand,-0.0167627772335981,-0.1313406756276526,0.115141852164768
log(GDP),3,GovSpending,0.073099290960767,-0.0980603434120283,0.2630480858091923
log(GDP),3,IntRate,-0.094215609950279,-0.383816712478901,0.1874874364546337
log(GDP),3,OilPrice,-0.0030907534359421,-0.0335633093086067,0.031692885645137
log(GDP),4,ForeignDemand,-0.0193173507491799,-0.1160259364567839,0.0891259626729099
log(GDP),4,GovSpending,0.0149201278594225,-0.1625073837587019,0.2206011747388726
log(GDP),4,IntRate,-0.0539936540329406,-0.3487724290123158,0.1995951969755837
log(GDP),4,OilPrice,0.0010610745042444,-0.0255302383354585,0.0365310799148464
log(GDP),5,ForeignDemand,-0.0069468511900665,-0.0849799120658511,0.0860411057595631
log(GDP),5,GovSpending,-0.0242227822275669,-0.2010503015146473,0.1804627335013587
log(GDP),5,IntRate,-0.039047576281633,-0.323598247372441,0.1985857480273194
log(GDP),5,OilPrice,0.0056696092633001,-0.0180918425684593,0.041481898538724
log(GDP),6,ForeignDemand,0.005971459696349,-0.0629537894797219,0.0902348769322689
log(GDP),6,GovSpending,-0.0464096117799087,-0.2170729435139417,0.1484004166044082
log(GDP),6,IntRate,-0.0274436078166413,-0.3008813818280244,0.1755384742727895
log(GDP),6,OilPrice,0.00938596388649,-0.0130081234640832,0.0411411836229958
log(GDP),7,ForeignDemand,0.0124965582467414,-0.0428671390956375,0.0928378779321469
log(GDP),7,GovSpending,-0.0531901931840689,-0.2165440218708136,0.127090575755648
log(GDP),7,IntRate,-0.0310478460146993,-0.2849256562340705,0.1511458558994125
log(GDP),7,OilPrice,0.0094805539454436,-0.0098081907709441,0.0383370090002645
log(GDP),8,ForeignDemand,0.0112423565097667,-0.0302136354087473,0.0918341910193564
log(GDP),8,GovSpending,-0.0514578281031969,-0.2074286272366996,0.1088501443150653
log(GDP),8,IntRate,-0.0333876237205933,-0.2473903375864392,0.1210251807094842
log(GDP),8,OilPrice,0.0088919871746357,-0.0071144352730531,0.0357929019855506
log(GDP),9,ForeignDemand,0.0093829177563008,-0.0227566741126084,0.0917535326274392
log(GDP),9,GovSpending,-0.04583759949066,-0.1908527211780129,0.0938111804884218
log(GDP),9,IntRate,-0.0306079075175881,-0.2183526072459973,0.0987731400691563
log(GDP),9,OilPrice,0.0071989076860303,-0.0057491570401265,0.033085793034675
log(GDP),10,ForeignDemand,0.008892903997279,-0.0177109412096041,0.0931267781488092
log(GDP),10,GovSpending,-0.0384266731315666,-0.1726385448102081,0.0822790835650239
log(GDP),10,IntRate,-0.024742959020008,-0.1984242749685652,0.0821940814609926
log(GDP),10,OilPrice,0.0056699926014325,-0.0045692321010309,0.0304078631321207
log(GDP),11,ForeignDemand,0.007231809839789,-0.0134683567475567,0.0876799369418408
log(GDP),11,GovSpending,-0.0296651517984112,-0.1517176296076325,0.0709840907608155
log(GDP),11,IntRate,-0.0199743371669522,-0.1805573200232667,0.067862036880259
log(GDP),11,OilPrice,0.0045306623162047,-0.0041163278777014,0.0274476890876366
log(GDP),12,ForeignDemand,0.0063941510356051,-0.0100380875792567,0.0821866202030316
log(GDP),12,GovSpending,-0.0218584852609713,-0.1345328774738372,0.063704838077182
log(GDP),12,IntRate,-0.0165415009530336,-0.1620574214955874,0.0608662587698831
log(GDP),12,OilPrice,0.003425986017983,-0.0043366499825564,0.0266186768704437
log(GDP),13,ForeignDemand,0.006158919395233,-0.0083076100310068,0.0771852682550772
log(GDP),13,GovSpending,-0.0161810390301905,-0.1198948620706257,0.0584695841666988
log(GDP),13,IntRate,-0.0139184388003515,-0.1481186138185827,0.0591766351756928
log(GDP),13,OilPrice,0.0025389908908452,-0.0039826814753851,0.0256441003708131
log(GDP),14,ForeignDemand,0.005261574512787,-0.0071026252622308,0.0728128003036611
log(GDP),14,GovSpending,-0.011340978550515,-0.1058118659829677,0.0538089833367685
log(GDP),14,IntRate,-0.0106117700208626,-0.1386735354591466,0.0484997823239923
log(GDP),14,OilPrice,0.0018833750372791,-0.0032678085015625,0.0243323671267779
log(GDP),15,ForeignDemand,0.0044157159773944,-0.0055773167228976,0.0683874878625349
log(GDP),15,GovSpending,-0.0074351013567508,-0.0927175973338291,0.0502470449463435
log(GDP),15,IntRate,-0.0084883751049011,-0.1236243993023696,0.0447437444885367
log(GDP),15,OilPrice,0.0015987317584662,-0.0033983994608756,0.0215786761858009
log(GDP),16,ForeignDemand,0.0037355586778029,-0.0045310803810648,0.0637573412962852
log(GDP),16,GovSpending,-0.0046573382573509,-0.0799705176842897,0.0462550326522813
log(GDP),16,IntRate,-0.006511684202935,-0.1100620854192786,0.0391011597772739
